Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Mushroom Button,86,18,79.07,No,250 g,,200,7 mins,fruits,68
Mushroom Button,121,5,76.19,No,250 g,,150,7 mins,fruits,116
Maize Cob,135,8,77.14,No,250 g,,35,7 mins,fruits,127
Dragon Fruit Combo,303,63,79.21,No,250 g,,303,7 mins,fruits,240
Rosemary,118,4,77.78,No,250 g,,20,7 mins,fruits,114
Garlic,127,13,51.85,No,100 g,,100,7 mins,fruits,114
Coriander,131,11,64.52,No,100 g,,100,7 mins,fruits,120
Kissan Mixed Fruit Jam,80,9,88.75,No,200 g,4.7,200,7 mins,fruits,71
Kissan Mixed Fruit Jam,53,23,56.6,No,100 g,,1000,7 mins,fruits,30
Tomato Local,43,9,79.07,No,500 g,,500,7 mins,fruits,34
Colocasia,20,6,70,No,250 g,,250,7 mins,fruits,14
Beans Haricot,56,23,58.93,No,250 g,,250,7 mins,fruits,33
Turmeric Fresh,90,18,80,No,250 g,,250,7 mins,fruits,72
Watermelon Kiran,264,60,77.27,No,250 g,,264,7 mins,fruits,204
Ginger,37,9,75.68,No,200 g,,200,7 mins,fruits,28
Organic Sweet Potato,92,20,78.26,No,250 g,,250,7 mins,fruits,72
Beans Broad,46,14,69.57,No,250 g,,250,7 mins,fruits,32
Tomato Local,26,6,76.92,No,250 g,,300,7 mins,fruits,20
Coccinia,29,9,68.97,No,250 g,,250,7 mins,fruits,20
Coccinia,70,25,64.29,No,250 g,,1000,7 mins,fruits,45
Brown Chana Sprouts,40,9,77.5,No,200 g,,200,7 mins,fruits,31
Green Tomato,42,10,76.19,No,500 g,,500,7 mins,fruits,32
Bitter Gourd,48,10,79.17,No,500 g,,500,7 mins,fruits,38
Asparagus,60,12,80,No,100 g,,100,7 mins,fruits,48
Papaya,180,64,64.44,No,100 g,,180,7 mins,fruits,116
Lettuce Green,39,9,76.92,No,100 g,,100,7 mins,fruits,30
Capsicum Green,41,13,68.29,No,100 g,,41,7 mins,fruits,28
Mint,24,9,62.5,No,100 g,,100,7 mins,fruits,15
Cauliflower,97,20,79.38,No,100 g,,97,7 mins,fruits,77
Beans Cowpea,33,8,75.76,No,250 g,,250,7 mins,fruits,25
Ridge Gourd,28,6,78.57,No,250 g,,28,7 mins,fruits,22
Ridge Gourd,60,18,70,No,500 g,,500,7 mins,fruits,42
Cabbage,53,19,64.15,No,100 g,,53,7 mins,fruits,34
Bottle Gourd,68,22,67.65,No,100 g,,68,7 mins,fruits,46
Cabbage Red,75,16,78.67,No,400 g,,400,7 mins,fruits,59
Cherry Tomato,58,13,77.59,No,200 g,,200,7 mins,fruits,45
Hydration heroes,247,55,77.73,No,200 g,,247,7 mins,fruits,192
Tomato Local Combo,86,18,79.07,No,200 g,,500,7 mins,fruits,68
Tomato Hybrid,42,16,61.9,No,500 g,,500,7 mins,fruits,26
Coconut Grated,56,13,76.79,No,100 g,,100,7 mins,fruits,43
Pomegranate Regular Combo,494,104,78.95,No,100 g,,494,7 mins,fruits,390
Zucchini Green,57,12,78.95,No,250 g,,250,7 mins,fruits,45
Coconut Big Combo,207,45,78.26,No,250 g,,207,7 mins,fruits,162
Carrot Combo,162,42,74.07,No,250 g,,500,7 mins,fruits,120
Organic Garlic,60,13,78.33,No,100 g,,100,7 mins,fruits,47
Baby Potato,62,31,50,No,500 g,,500,7 mins,fruits,31
Lettuce Iceberg,71,15,78.87,No,250 g,,250,7 mins,fruits,56
Capsicum Green,66,14,78.79,No,500 g,,500,7 mins,fruits,52
Tomato Hybrid Combo,84,32,61.9,No,100 g,,500,7 mins,fruits,52
Celery,48,10,79.17,No,200 g,,200,7 mins,fruits,38
Organic Potato,63,13,79.37,No,475 g,,475,7 mins,fruits,50
Organic Lemon,56,13,76.79,No,475 g,,56,7 mins,fruits,43
Onion Combo,106,46,56.6,No,475 g,,106,7 mins,fruits,60
Beans Broad,93,28,69.89,No,500 g,,500,7 mins,fruits,65
Organic Ginger,65,14,78.46,No,200 g,,200,7 mins,fruits,51
Kale Leaf,44,9,79.55,No,100 g,,100,7 mins,fruits,35
Organic Tomato,65,14,78.46,No,450 g,,450,7 mins,fruits,51
Tender coconut with opener,445,98,77.98,No,450 g,,445,7 mins,fruits,347
Banana Leaves,54,14,74.07,No,450 g,,54,7 mins,fruits,40
Organic Cabbage,96,21,78.12,No,450 g,,96,7 mins,fruits,75
Potato Combo,140,50,64.29,No,450 g,,140,7 mins,fruits,90
Onion White,61,16,73.77,No,500 g,,500,7 mins,fruits,45
Organic Bitter Gourd,54,12,77.78,No,250 g,,250,7 mins,fruits,42
Super Sweetcorn Kernels,240,54,77.5,No,500 g,,500,7 mins,fruits,186
Mango Totapuri Combo,306,104,66.01,No,500 g,,306,7 mins,fruits,202
Daily Good Cashew,740,220,70.27,No,500 g,4.4,497,7 mins,fruits,520
Daily Good Cashew,915,258,71.8,No,500 g,4.7,598,7 mins,fruits,657
