Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Ghadi Detergent Powder,289,80,72.32,No,3 kg,4.5,420,5 mins,detergent,209
Surf Excel Matic Front Load Detergent Powder,600,58,90.33,No,2 kg,4.6,600,5 mins,detergent,542
Surf Excel Matic Top Load Detergent Liquid Refill,450,38,91.56,No,850 ml,4.7,213,5 mins,detergent,412
Rin Detergent Bar Combo,200,28,86,No,430 ml,4.2,329,5 mins,detergent,172
Comfort After Wash Morning Fresh Fabric Conditioner,345,35,89.86,No,430 ml,4.6,603,5 mins,detergent,310
Surf Excel Matic Top Load Detergent Liquid Refill,439,81,81.55,No,2 l,4.4,956,5 mins,detergent,358
Ariel Stain Removal Top Load Washing Machine Detergent Liquid Combo,658,104,84.19,No,2 l,4.3,324,5 mins,detergent,554
Ariel Matic Top Load Detergent Powder,1190,400,66.39,No,2 l,4.3,767,5 mins,detergent,790
Rin Detergent Bar Combo,300,42,86,No,2 l,4.6,434,5 mins,detergent,258
Ariel Matic Front Load Detergent Powder Combo,1320,438,66.82,No,2 l,4.7,272,5 mins,detergent,882
Ariel Complete Detergent Powder,684,82,88.01,No,2 l,4.3,993,5 mins,detergent,602
Ujala Front Load Detergent Liquid,340,84,75.29,No,2 l,4.5,818,20 mins,detergent,256
Ujala Front Load Liquid Detergent Refill for Tough Dirt Removal and Colour Care,720,302,58.06,No,4 l,4.8,188,5 mins,detergent,418
Surf Excel Matic Front Load Detergent Liquid,799,156,80.48,No,4 l,4.7,799,5 mins,detergent,643
Surf Excel Detergent Bar Combo,256,30,88.28,No,1 l,4.3,662,5 mins,detergent,226
Comfort After Wash Morning Fresh Fabric Conditioner,460,73,84.13,No,860 ml,4.4,514,5 mins,detergent,387
Ariel Stain Removal Top Load Washing Machine Detergent Liquid Combo,1198,442,63.11,No,3 l,4.4,93,5 mins,detergent,756
Beco Top Load Laundry Detergent Liquid,425,201,52.71,No,960 ml,4.7,99,5 mins,detergent,224
Ariel Stain Removal Front Load Washing Machine Detergent Liquid Combo,758,140,81.53,No,3 l,4.7,293,5 mins,detergent,618
Beco Front Load Laundry Detergent Liquid,455,214,52.97,No,960 ml,4.6,185,5 mins,detergent,241
Surf Excel Matic Front Load Detergent Liquid Refill,619,98,84.17,No,2 l,4.6,314,5 mins,detergent,521
Surf Excel Matic Top Load Detergent Powder,1375,345,74.91,No,5 kg,4.5,853,5 mins,detergent,1030
Henko Matic Front Load Detergent Liquid,490,134,72.65,No,2 l,4.9,344,5 mins,detergent,356
SafeWash Top Load Matic Premium Detergent Liquid,860,350,59.3,No,2 l,4.5,604,5 mins,detergent,510
Surf Excel Easy Wash Detergent Powder Combo,1540,406,73.64,No,4 l,4.2,767,5 mins,detergent,1134
Vanish WHite Chlorine Bleach,530,90,83.02,No,5 l,4.3,924,5 mins,detergent,440
Henko Matic Top Load Detergent Powder,1375,499,63.71,No,6 kg,4.3,467,20 mins,detergent,876
Surf Excel Detergent Bar Combo,384,45,88.28,No,1 l,4.5,407,5 mins,detergent,339
Surf Excel Matic Top Load Detergent Liquid Combo,1146,258,77.49,No,2 l,4.4,564,5 mins,detergent,888
Surf Excel Matic Front Load Detergent Liquid Combo,1078,142,86.83,No,3 l,4.2,232,5 mins,detergent,936
Comfort After Wash Morning Fresh Fabric Conditioner,490,82,83.27,No,860 ml,4.7,271,5 mins,detergent,408
Surf Excel Matic Top Load Detergent Liquid Refill,377,35,90.72,No,1 l,4.5,86,5 mins,detergent,342
Surf Excel Matic Front Load Liquid Detergent,799,167,79.1,No,2 l,4.2,848,5 mins,detergent,632
Ariel Stain Removal Front Load Washing Machine Detergent Liquid Combo,1370,438,68.03,No,3 l,4.6,799,5 mins,detergent,932
Ariel Complete Detergent Powder,2900,1,99.97,No,4 l,4.2,330,5 mins,detergent,2899
Surf Excel Matic Top Load Liquid Detergent,754,162,78.51,No,2 l,4.5,762,5 mins,detergent,592
Comfort After Wash Morning Fresh Fabric Conditioner,599,124,79.3,No,860 ml,4.3,748,5 mins,detergent,475
Comfort After Wash Morning Fresh Fabric Conditioner,554,119,78.52,No,860 ml,4.7,68,5 mins,detergent,435
Surf Excel Matic Top Load Detergent Liquid Refill,460,73,84.13,No,1 l,4.3,540,5 mins,detergent,387
Ariel Matic Front Load Detergent Powder Combo,1980,657,66.82,No,2 l,4.7,912,5 mins,detergent,1323
Surf Excel Matic Front Load Detergent Liquid,1303,270,79.28,No,5 l,4.2,201,5 mins,detergent,1033
Dr. Beckmann Magic Leaves Laundry Detergent Sheets,999,280,71.97,No,1 l,4.5,131,20 mins,detergent,719
Surf Excel Matic Top Load Detergent Liquid Refill,754,162,78.51,No,2 l,4.3,306,5 mins,detergent,592
Dr. Beckmann Magic Leaves Laundry Detergent Sheets,999,280,71.97,No,100 g,4.7,114,20 mins,detergent,719
Surf Excel Matic Top Load Detergent Liquid Refill,660,116,82.42,No,1 l,4.7,966,5 mins,detergent,544
Surf Excel Matic Front Load Detergent Liquid,1303,270,79.28,No,5 l,4.5,669,5 mins,detergent,1033
Surf Excel Matic Top Load Detergent Liquid,1185,261,77.97,No,5 l,4.5,979,5 mins,detergent,924
Surf Excel Matic Top Load Detergent Liquid,1175,269,77.11,No,5 l,4.5,885,5 mins,detergent,906
Surf Excel Matic Front Load Detergent Liquid,1293,274,78.81,No,5 l,4.4,341,5 mins,detergent,1019
Surf Excel Matic Top Load Detergent Liquid,1185,261,77.97,No,5 l,4.3,298,5 mins,detergent,924
