Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Baskin Robbins Mississippi Mud Ice Cream Cup Combo,178,58,67.42,No,250 ml,4.4,948,5 mins,ice cream,120
Arun Butterscotch Icone Ice Cream Cone Combo,150,12,92,No,250 ml,4.3,632,5 mins,ice cream,138
Arun Vanilla Ice Cream Tub Combo,160,28,82.5,No,250 ml,4.5,143,5 mins,ice cream,132
Dairy Day Nutty Ice Cream Stick Combo,75,12,84,No,250 ml,4.7,303,5 mins,ice cream,63
Dairy Day Crunchy Butter Scotch Premium Ice Cream Tub Combo,320,96,70,No,250 ml,4.7,447,5 mins,ice cream,224
Hocco Cookies,270,48,82.22,No,250 ml,4.7,643,5 mins,ice cream,222
Dairy Day Vanilla Ice Cream Tub Combo,270,80,70.37,No,250 ml,4.3,993,5 mins,ice cream,190
Arun Vanilla And Blackcurrant Ice Cream Cup Combo,210,60,71.43,No,250 ml,4.3,94,5 mins,ice cream,150
Baskin Robbins Cookies And Cream Ice Cream Cone Combo,190,36,81.05,No,250 ml,4.5,264,5 mins,ice cream,154
Baskin Robbins Mississippi Mud Ice Cream Cup Combo,267,87,67.42,No,250 ml,4.6,472,5 mins,ice cream,180
Arun Icecreams Butterscotch Ice Cream Tub Combo,400,76,81,No,250 ml,4.6,528,5 mins,ice cream,324
Hangyo Berry,120,26,78.33,No,250 ml,4.3,99,5 mins,ice cream,94
