Name,Original Price,Discounted Price,Discount Percent,Price (raw),Premium,quantity,Rating,Review Count,Delivery Time,Category,Price
"truke BTG Ultra Truly Wireless Bluetooth Earbuds with 60H Battery, 360 Spatial Audio - Mint Mist",2999,2,99.93,₹899 | ₹2999 | ₹2,No,,4.3,164,16 mins,electronics,2999
Nu Republic Epic X4 With 52 Hrs Playtime Tws Earbuds | Blue,3499,2,99.94,₹759 | ₹3499 | ₹2,No,Nu Republic Epic X4 With 52 Hrs Playtime Tws Earbuds | Blue,4.3,242,16 mins,electronics,3499
Dubstep Buzz X8 with 56 Hrs Playtime ENC TWS Earbuds | Neon Green,2999,2,99.93,₹699 | ₹2999 | ₹2,No,Dubstep Buzz X8 with 56 Hrs Playtime ENC TWS Earbuds | Neon Green,4.3,862,16 mins,electronics,2999
Portronics Harmonics Twins 28 (POR2242) Smart TWS Earbuds - White,2999,1,99.97,₹1199 | ₹2999 | ₹1,No,,3.9,63,16 mins,electronics,2999
"GOBOULT W20 in Ear TWS Earbuds with 40H Playtime, Zen ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Touch Controls, IPX5 Ear Buds - Space Black",2499,1,99.96,₹799 | ₹2499 | ₹1,No,,4.4,771,16 mins,electronics,2499
"boAt Airdopes Ultra Plus TWS Earbuds With 50 Hrs Playback, 4-mic Enx Technology(Sporty Blue)",4990,3,99.94,₹1099 | ₹4990 | ₹3,No,,,125,16 mins,electronics,4990
Open Box Delivery,12900,901,93.02,₹11999 | ₹12900 | ₹901 | ₹1150,No,,4.4,178,16 mins,electronics,12900
Noise Buds VS102 Pro Truly Wireless Bluetooth Earbuds - Aurora Green,4999,3,99.94,₹1299 | ₹4999 | ₹3,No,,3.2,340,16 mins,electronics,4999
"Noise Buds N1 Pro TWS Earbuds with Metallic Finish, ANC(Upto 30Db), 60H of Playtime, Dual Pairing, Instacharge, BT V5.3 - Chrome Green",4999,3,99.94,₹1399 | ₹4999 | ₹3,No,,3.6,321,16 mins,electronics,4999
"UBON Air Tiger Wireless Earbud with 40 Hours Playtime, Touch Control True wireless Earphone",1499,550,63.31,₹949 | ₹1499 | ₹550,No,,4.6,339,16 mins,electronics,1499
"boAt Nirvana Ion ANC Pro TWS Earbuds, Hi-Res Audio with LDAC, ANC, 120 HRS Playback, MultiPoint Bluetooth - Rose Quartz",13990,11,99.92,₹2299 | ₹13990 | ₹11,No,,4.3,352,16 mins,electronics,13990
Noise Buds VS102 Elite Truly Wireless Bluetooth Earbuds - Calm Beige,3499,2,99.94,₹999 | ₹3499 | ₹2,No,,3.5,197,16 mins,electronics,3499
"Leaf Buds X614 True Wireless ANC Earbuds With Ai Sound App, 30H Playtime, BTv5.3, Carbon Black",3999,2,99.95,₹1299 | ₹3999 | ₹2,No,"Leaf Buds X614 True Wireless ANC Earbuds With Ai Sound App, 30H Playtime, BTv5.3, Carbon Black",,144,16 mins,electronics,3999
Noise Air Buds 6 Truly Wireless Bluetooth Earbuds - Pebble Grey,3499,500,85.71,₹2999 | ₹3499 | ₹500,No,,,61,16 mins,electronics,3499
SnapUp Snapods S511 Ion True Wireless in-ear Earbuds - Deep Black,5999,5,99.92,₹839 | ₹5999 | ₹5,No,,4.4,900,16 mins,electronics,5999
Noise AirBuds 6 Truly Wireless Bluetooth Earbuds - Sage Blue,3499,500,85.71,₹2999 | ₹3499 | ₹500,No,,4.9,74,16 mins,electronics,3499
boAt Nirvana Ion TWS Earbuds w/ 120 HRS Playback & Crystal Bionic Sound (Charcoal Black),7990,6,99.92,₹1799 | ₹7990 | ₹6,No,,4.2,863,16 mins,electronics,7990
"boAt Airdopes 111V2 TWS Earbuds with mic, Premium Leather Finish, 4Mics ENx, 50HRS Battery, 13mm Drivers, Fast Charge, Dual Pair, v5.4 Bluetooth - Classic Black",4990,3,99.94,₹1399 | ₹4990 | ₹3,No,,4.2,401,16 mins,electronics,4990
"Noise Buds Vs102 Elite TWS Earbuds with 50Hr Playtime, ENC, Quad Mic, Chrome finish Flybird Design Bluetooth - Forest Green",3499,2,99.94,₹999 | ₹3499 | ₹2,No,,3.8,741,16 mins,electronics,3499
"Noise N1 Pro TWS Earbuds with Metallic Finish, ANC(Upto 30Db), 60H of Playtime, Dual Pairing, Instacharge(10 Min), BT V5.3 - Chrome Black",4999,3,99.94,₹1399 | ₹4999 | ₹3,No,,3.5,354,16 mins,electronics,4999
Noise Buds VS104 Truly Wireless Bluetooth Earbuds - Midnight Blue,3499,2,99.94,₹1099 | ₹3499 | ₹2,No,,,201,16 mins,electronics,3499
Noise Buds VS404 Truly Wireless Bluetooth Earbuds - Forest Green,3499,2,99.94,₹999 | ₹3499 | ₹2,No,,2.8,169,16 mins,electronics,3499
Noise Air Buds 6 Truly Wireless Bluetooth Earbuds - Charcoal Black,3499,500,85.71,₹2999 | ₹3499 | ₹500,No,,2.4,73,16 mins,electronics,3499
Noise Buds Verve 2 Truly Wireless Bluetooth Earbuds - Forest Green,3999,2,99.95,₹1499 | ₹3999 | ₹2,No,,4.2,72,16 mins,electronics,3999
Noise Buds VS102 Plus Truly Wireless Bluetooth Earbuds - Serene Blue,3999,2,99.95,₹1099 | ₹3999 | ₹2,No,,3.9,208,16 mins,electronics,3999
"Portronics Harmonics Twins 28 ANC TWS in Ear Earbuds with Smart Touch Control, 50 Hours Playback, Quad Mic ENC, Low Latency, 13mm Dynamic Driver, IPX 5 Water Resistant, Fast Type C Charging - Black",2999,1,99.97,₹1199 | ₹2999 | ₹1,No,,3.8,196,16 mins,electronics,2999
"UBON Champion Wireless Earbud with 40 Hours Playtime, Touch Control True wireless Earphone",2499,1,99.96,₹779 | ₹2499 | ₹1,No,,4.7,469,16 mins,electronics,2499
Cellecor Bropods C105 Tune TWS Noise Cancellation Earbuds | 50ms Low Latency | Fast Charging - Type-C | Yellow,3999,3,99.92,₹829 | ₹3999 | ₹3,No,,4.8,91,16 mins,electronics,3999
Nu Republic Epic X4 With 52 Hrs Playtime ENC TWS Earbuds - Green,3499,2,99.94,₹849 | ₹3499 | ₹2,No,Nu Republic Epic X4 With 52 Hrs Playtime ENC TWS Earbuds - Green,4.2,67,16 mins,electronics,3499
"boAt Airdopes 393 ANC TWS Earbuds W/ 32db Hybrid ANC, Quad Mics With Enx Tech(Ivory White)",4990,2,99.96,₹2338 | ₹4990 | ₹2,No,,4.6,411,16 mins,electronics,4990
